"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"192.168.100.8";"49418";"172.172.255.218";"443";"5008";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"49671";"172.217.192.188";"5228";"22472";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"49794";"104.208.16.95";"443";"24204";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"49805";"23.64.58.201";"443";"24204";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"51239";"52.110.14.81";"443";"24204";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52012";"46.151.194.97";"443";"4632";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"52294";"20.42.73.27";"443";"24204";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"52390";"216.239.32.223";"443";"23324";"Codex";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53608";"104.18.32.47";"443";"6928";"codex";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53808";"160.202.130.41";"443";"4632";"AnyDesk";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53808";"179.42.168.31";"61335";"4632";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53877";"142.251.134.78";"443";"22472";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"55066";"52.110.14.81";"443";"24204";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"55343";"52.123.245.37";"443";"24204";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"55839";"31.13.94.52";"5222";"9688";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"56086";"13.82.192.250";"443";"22472";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"56718";"142.251.129.74";"443";"22472";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"57456";"52.108.9.12";"443";"24204";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"59674";"52.97.106.98";"443";"24204";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"59750";"52.111.229.20";"443";"24204";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"59844";"64.233.186.188";"5228";"23324";"Codex";"OBSERVACION"
