"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"192.168.100.8";"49423";"172.172.255.217";"443";"4488";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50106";"8.8.8.8";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50472";"172.217.192.188";"5228";"25148";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50621";"142.251.134.74";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51325";"181.30.145.96";"443";"1712";"msedge";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52361";"142.251.129.174";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52629";"142.251.128.46";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53626";"142.251.129.99";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54236";"52.104.152.39";"443";"12780";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54237";"181.30.145.81";"443";"10060";"svchost";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"54238";"13.89.179.9";"443";"16936";"OneDriveStandaloneUpdater";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"54239";"13.89.179.9";"443";"17968";"OneDriveStandaloneUpdater";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"54240";"150.171.110.40";"443";"10060";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"54949";"142.251.129.174";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"55205";"142.251.128.99";"80";"4436";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"55206";"2.18.57.55";"80";"4436";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"55207";"23.11.35.158";"80";"4436";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"55323";"20.190.173.3";"443";"13436";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"56346";"31.13.94.52";"443";"18852";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"56347";"104.208.16.95";"443";"12780";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"56468";"142.251.128.142";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"56713";"51.116.253.170";"443";"1712";"msedge";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"57180";"142.251.129.97";"443";"25148";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"57195";"8.8.4.4";"443";"25148";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"57283";"172.172.255.216";"443";"12780";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"57287";"162.43.190.119";"443";"4632";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"57690";"31.13.94.52";"443";"25148";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"58068";"150.171.110.40";"443";"12004";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"58656";"142.251.134.195";"443";"25148";"chrome";"OBSERVACION"
