"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"172.19.19.134";"49344";"172.67.74.219";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"49351";"185.184.8.90";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"49415";"172.172.255.216";"443";"5268";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"49669";"172.66.169.55";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"49671";"200.42.122.8";"443";"17796";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"49827";"104.36.113.107";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"49941";"95.100.88.80";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"50152";"3.160.107.127";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"50215";"54.240.184.66";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"50432";"172.19.19.122";"8009";"17796";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"51004";"142.251.129.110";"443";"17796";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"51044";"34.4.35.11";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"51328";"65.8.207.90";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"51629";"34.144.233.101";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"51656";"34.117.164.249";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"52104";"199.38.167.131";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52131";"142.251.129.174";"443";"17796";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"52132";"20.184.175.13";"443";"9476";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52134";"34.36.216.150";"443";"2040";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"52167";"161.69.237.198";"443";"5300";"mc-fw-host";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"52172";"20.161.205.129";"443";"10284";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"52176";"40.126.45.20";"443";"11792";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52179";"46.151.194.97";"443";"15372";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52182";"40.126.45.20";"443";"11792";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52183";"189.1.174.48";"443";"15372";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52184";"98.70.192.227";"443";"10284";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52185";"2.18.57.126";"443";"19164";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52186";"172.19.19.15";"7070";"15372";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52188";"2.18.57.187";"443";"19164";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"52189";"2.18.57.187";"443";"19164";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"52190";"200.115.88.142";"80";"19164";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52191";"2.18.57.187";"443";"19164";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"52192";"200.115.88.142";"80";"19164";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52194";"2.18.57.187";"443";"19164";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"52195";"200.115.88.142";"80";"19164";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52197";"200.115.88.142";"80";"19164";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52252";"205.180.86.210";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"52678";"34.111.239.231";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"52688";"35.211.202.130";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"52885";"216.19.192.2";"443";"2040";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"53248";"104.26.3.75";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"53320";"200.42.122.17";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"53385";"65.8.207.74";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"54130";"142.251.134.195";"443";"17796";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"54158";"104.36.113.110";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"55695";"108.177.123.188";"5228";"17796";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"56725";"141.94.175.218";"443";"2040";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"57069";"172.67.75.241";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"57227";"141.94.175.218";"443";"2040";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.134";"57524";"151.101.194.49";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"57725";"107.178.254.65";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"57746";"173.237.43.232";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"57891";"199.232.211.52";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"57939";"35.212.120.65";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"58164";"3.163.139.38";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.134";"58230";"104.20.40.137";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.134";"58917";"57.144.207.32";"443";"12096";"msedgewebview2";"BASE"
