"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"172.19.18.130";"49166";"38.105.184.7";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"49266";"72.28.123.104";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"49408";"172.172.255.216";"443";"5268";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.18.130";"49669";"216.22.16.48";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"49767";"34.226.7.113";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"49996";"3.171.171.19";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"50066";"131.100.1.168";"443";"5932";"TeamViewer_Service";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"50114";"173.237.43.232";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"50356";"200.152.162.189";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"50642";"104.18.26.193";"443";"2040";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"50844";"192.132.33.67";"443";"2040";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"51460";"20.190.173.65";"443";"13768";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51661";"2.18.58.25";"443";"19244";"BackgroundTransferHost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51671";"4.160.58.169";"443";"5508";"MsMpEng";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51674";"150.171.110.40";"443";"11140";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51675";"200.42.122.27";"443";"11140";"svchost";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"51676";"13.107.139.11";"443";"9476";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51678";"20.190.173.65";"443";"13768";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51679";"52.123.128.14";"443";"9476";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51680";"52.97.28.162";"443";"9476";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"51681";"52.97.28.162";"443";"9476";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"51682";"150.171.22.11";"443";"9476";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"172.19.18.130";"51683";"52.110.14.72";"443";"9476";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"51684";"52.104.152.39";"443";"9476";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"172.19.18.130";"51685";"172.172.255.217";"443";"9476";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"172.19.18.130";"51686";"150.171.43.11";"443";"9476";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"51687";"150.171.22.11";"443";"9476";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"172.19.18.130";"51688";"20.135.6.7";"443";"9476";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.130";"51689";"20.99.134.80";"443";"9476";"OneDrive";"NUEVA"
"TCP";"ESTABLISHED";"172.19.18.130";"51690";"150.171.43.11";"443";"9476";"OneDrive";"NUEVA"
