"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"192.168.100.8";"49321";"172.217.28.2";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"49322";"148.113.190.78";"17301";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"49669";"142.250.0.188";"5228";"18304";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"49884";"172.172.255.216";"443";"5184";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51014";"8.8.8.8";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51187";"104.20.23.13";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51195";"142.251.133.226";"443";"12276";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"51626";"142.251.134.194";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51703";"200.42.122.9";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51771";"34.237.133.58";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52033";"142.251.134.194";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52119";"34.237.133.58";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52275";"104.18.32.47";"443";"25644";"Codex";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52708";"31.13.94.52";"443";"16700";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53315";"200.42.122.17";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53443";"141.94.172.236";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53484";"185.167.164.53";"443";"12276";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"54617";"8.8.8.8";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"55139";"168.151.55.7";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"55365";"13.82.192.250";"443";"18304";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"56070";"216.19.192.2";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"56693";"77.88.44.55";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"57107";"104.18.37.228";"443";"25644";"Codex";"BASE"
