"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"192.168.100.8";"49171";"8.8.4.4";"443";"16700";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"49417";"172.172.255.218";"443";"5184";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"49669";"3.220.177.255";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"49671";"23.64.58.149";"443";"14268";"msedgewebview2";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"49672";"40.126.17.43";"443";"11780";"CrossDeviceResume";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"49673";"142.251.134.206";"443";"25016";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"49674";"148.113.190.78";"17301";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"49686";"142.251.134.206";"443";"25016";"chrome";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50171";"131.153.144.18";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51560";"3.220.177.255";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51564";"138.97.177.156";"55129";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"51567";"45.162.230.182";"17351";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"51569";"52.104.152.39";"443";"3696";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51737";"172.172.255.218";"443";"3696";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51744";"38.106.231.208";"443";"2160";"GlobalPresenter";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53490";"5.255.255.77";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53771";"31.13.94.52";"443";"16700";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53876";"131.153.144.18";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54106";"3.220.177.255";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54265";"20.190.173.69";"443";"17224";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"54266";"20.42.65.84";"443";"16820";"MicrosoftStartFeedProvider";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"54899";"141.94.175.218";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54901";"148.113.190.78";"17301";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"54903";"200.42.122.18";"443";"16820";"MicrosoftStartFeedProvider";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54906";"20.161.205.129";"443";"9632";"svchost";"BASE"
