"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"192.168.100.8";"49187";"45.162.230.182";"17351";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"49190";"45.162.230.182";"17351";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"49876";"172.172.255.216";"443";"5184";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50242";"77.88.55.88";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"50243";"45.162.230.182";"17351";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"50787";"141.94.175.218";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"51747";"77.88.55.88";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"52423";"138.97.177.104";"55970";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"52433";"200.42.122.9";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53813";"141.94.175.218";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53814";"20.161.205.129";"443";"9632";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"53823";"162.159.135.232";"443";"26248";"Discord";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53824";"20.44.10.123";"443";"16820";"MicrosoftStartFeedProvider";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53850";"23.11.35.158";"80";"12376";"Discord";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"53851";"198.244.203.247";"17301";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53863";"45.162.230.182";"17351";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53871";"172.217.28.3";"80";"4608";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53884";"23.49.201.125";"80";"4608";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"53885";"23.11.35.158";"80";"4608";"svchost";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"54192";"44.206.88.197";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"56424";"172.172.255.217";"443";"3696";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"57854";"20.190.173.66";"443";"20096";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"57900";"23.64.58.142";"443";"14268";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"58831";"44.206.88.197";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"59554";"138.97.177.20";"54031";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"59559";"132.255.112.120";"49670";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"59564";"138.97.177.156";"55129";"5356";"RvControlSvc";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"61570";"172.217.28.3";"80";"4608";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"61870";"2.17.128.119";"443";"12276";"msedgewebview2";"NUEVA"
"TCP";"ESTABLISHED";"192.168.100.8";"62467";"177.54.145.71";"443";"4832";"AnyDesk";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"62951";"31.13.94.52";"443";"16700";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"63545";"200.42.122.9";"443";"12276";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"63546";"200.42.122.18";"443";"16820";"MicrosoftStartFeedProvider";"BASE"
"TCP";"ESTABLISHED";"192.168.100.8";"64045";"20.42.73.24";"443";"3696";"OneDrive";"OBSERVACION"
"TCP";"ESTABLISHED";"192.168.100.8";"64047";"150.171.22.11";"443";"3696";"OneDrive";"BASE"
