"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"172.19.19.114";"49669";"172.19.19.106";"8009";"38756";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.114";"50079";"200.42.122.18";"443";"38916";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"50286";"8.8.8.8";"443";"6460";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"50287";"52.97.28.162";"443";"29620";"SearchHost";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.114";"50463";"34.202.71.65";"443";"38756";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"50476";"78.47.53.49";"443";"12524";"RvControlSvc";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"50623";"8.8.8.8";"443";"38916";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"51649";"57.144.207.32";"443";"32220";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"52343";"34.149.66.154";"443";"33408";"claude";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"53384";"172.172.255.218";"443";"5840";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"53549";"35.212.63.195";"443";"16856";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"53550";"200.42.122.32";"443";"20176";"MicrosoftStartFeedProvider";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.114";"55124";"77.88.44.55";"443";"16856";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"56993";"54.207.159.193";"443";"24092";"ngrok";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"57062";"104.18.32.47";"443";"1656";"codex";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"58214";"18.97.36.67";"443";"33408";"claude";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.114";"59155";"168.151.55.7";"443";"16856";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.114";"59628";"189.1.174.46";"443";"28912";"AnyDesk";"BASE"
